BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
18/12/2013,714.969971,716.98999,454.859985,540.97998,540.97998,62529030,18/12/2013,0,0,0,0,0,0,18/12/2013,0,0,0,0,0,0,18/12/2013,23.74,23.74,8.48,13,13,14485
19/12/2013,540.97998,745.960022,522.440002,731.950012,731.950012,29980041,19/12/2013,0,0,0,0,0,0,19/12/2013,0,0,0,0,0,0,19/12/2013,13,20,13,19.799999,19.799999,781
20/12/2013,731.950012,774.390015,621.25,649.960022,649.960022,24291048,20/12/2013,0,0,0,0,0,0,20/12/2013,0,0,0,0,0,0,20/12/2013,19.799999,22,17.219999,18.85,18.85,1168
21/12/2013,649.960022,690,610,640.47998,640.47998,9550420,21/12/2013,0,0,0,0,0,0,21/12/2013,0,0,0,0,0,0,21/12/2013,18.85,18.85,17.129999,17.129999,17.129999,169
22/12/2013,640.47998,699.909973,614.950012,639.48999,639.48999,7693603,22/12/2013,0,0,0,0,0,0,22/12/2013,0,0,0,0,0,0,22/12/2013,17.129999,19.01,17.129999,18,18,2413
23/12/2013,639.48999,724.919983,631.01001,713.23999,713.23999,10210388,23/12/2013,0,0,0,0,0,0,23/12/2013,0,0,0,0,0,0,23/12/2013,18,18.74,16.73,17.200001,17.200001,4050
24/12/2013,713.23999,729.940002,665.97998,702.75,702.75,7647250,24/12/2013,0,0,0,0,0,0,24/12/2013,0,0,0,0,0,0,24/12/2013,17.200001,18,17.200001,18,18,944
25/12/2013,702.75,709.950012,673.929993,707.25,707.25,3721814,25/12/2013,0,0,0,0,0,0,25/12/2013,0,0,0,0,0,0,25/12/2013,18,22.059999,17.5,22.059999,22.059999,5994
26/12/2013,707.25,829.630005,707.210022,801.97998,801.97998,18209291,26/12/2013,0,0,0,0,0,0,26/12/2013,0,0,0,0,0,0,26/12/2013,22.059999,25,21.9,24.969999,24.969999,24203
27/12/2013,801.97998,836.830017,767.869995,803.049988,803.049988,11073604,27/12/2013,0,0,0,0,0,0,27/12/2013,0,0,0,0,0,0,27/12/2013,24.969999,24.969999,22,22.059999,22.059999,7416
28/12/2013,803.049988,805.969971,715.599976,761.98999,761.98999,10127883,28/12/2013,0,0,0,0,0,0,28/12/2013,0,0,0,0,0,0,28/12/2013,22.059999,23.33,22.059999,22.33,22.33,270
29/12/2013,761.98999,803.950012,734.97998,784.960022,784.960022,5448579,29/12/2013,0,0,0,0,0,0,29/12/2013,0,0,0,0,0,0,29/12/2013,22.33,24.51,22.32,24.51,24.51,928
30/12/2013,784.960022,818.830017,780.960022,804.830017,804.830017,8411786,30/12/2013,0,0,0,0,0,0,30/12/2013,0,0,0,0,0,0,30/12/2013,24.51,25.18,23.16,24.959999,24.959999,4646
31/12/2013,804.830017,813.940002,776.960022,805.940002,805.940002,7294004,31/12/2013,0,0,0,0,0,0,31/12/2013,0,0,0,0,0,0,31/12/2013,24.959999,24.98,23.549999,23.549999,23.549999,315
1/01/2014,805.940002,829.929993,770.969971,815.940002,815.940002,8663855,1/01/2014,0,0,0,0,0,0,1/01/2014,0,0,0,0,0,0,1/01/2014,23.549999,25,23.549999,24.77,24.77,2048
2/01/2014,815.940002,886.210022,810.469971,856.909973,856.909973,10826907,2/01/2014,0,0,0,0,0,0,2/01/2014,0,0,0,0,0,0,2/01/2014,24.77,26.6,23.879999,26.6,26.6,4818
3/01/2014,856.909973,888.22998,839.440002,884.26001,884.26001,8409629,3/01/2014,0,0,0,0,0,0,3/01/2014,0,0,0,0,0,0,3/01/2014,26.6,26.6,24.1,25.49,25.49,807
4/01/2014,884.26001,932.159973,848.320007,924.690002,924.690002,12784626,4/01/2014,0,0,0,0,0,0,4/01/2014,0,0,0,0,0,0,4/01/2014,25.49,25.49,24.049999,24.049999,24.049999,417
5/01/2014,924.690002,1029.859985,911.359985,1014.73999,1014.73999,20789364,5/01/2014,0,0,0,0,0,0,5/01/2014,0,0,0,0,0,0,5/01/2014,24.049999,27,24.049999,26.01,26.01,16138
