BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume,DOGE-up-DoD,BTC-up-DoD,DOGE-Win,BTC-Win
10/04/2016,420.25,422.350006,418.109985,421.429993,421.429993,15374195,10/04/2016,8.8,8.95,7.99,8.72,8.72,477247,10/04/2016,0.000225,0.000225,0.0002,0.000225,0.000225,3,10/04/2016,3.21,3.24,3.2,3.22,3.22,101222,0,1,L,W
11/04/2016,421.429993,426.690002,420.700012,424.73999,424.73999,24580503,11/04/2016,8.72,8.72,7.15,7.53,7.53,656699,11/04/2016,0.000225,0.000235,0.000205,0.000235,0.000235,17,11/04/2016,3.22,3.28,3.21,3.25,3.25,179426,1,1,W,W
12/04/2016,424.73999,426.579987,421.410004,423.470001,423.470001,16183793,12/04/2016,7.53,8.76,7,8.02,8.02,816613,12/04/2016,0.000235,0.000243,0.000201,0.000243,0.000243,4,12/04/2016,3.25,3.28,3.22,3.24,3.24,95867,1,0,W,L
13/04/2016,423.470001,425.440002,421.839996,424.019989,424.019989,13038970,13/04/2016,8.02,8.88,8,8.48,8.48,331212,13/04/2016,0.000337,0.000117,0.000117,0.000117,0.000117,1,13/04/2016,3.24,3.25,3.22,3.24,3.24,95192,0,1,L,W
14/04/2016,424.019989,429.48999,423.25,428.670013,428.670013,23214560,14/04/2016,8.48,8.61,8.12,8.22,8.22,182732,14/04/2016,0.000243,0.000243,0.000243,0.000243,0.000243,0,14/04/2016,3.24,3.31,3.22,3.27,3.27,174331,1,1,W,W
15/04/2016,428.670013,432,426.839996,430.049988,430.049988,12517265,15/04/2016,8.22,8.57,8.15,8.48,8.48,267873,15/04/2016,0.000243,0.000243,0.000225,0.000243,0.000243,0,15/04/2016,3.27,3.32,3.25,3.27,3.27,111016,0,1,L,W
16/04/2016,430.049988,430.619995,423.790009,426.26001,426.26001,10980868,16/04/2016,8.48,9.99,8.48,9.45,9.45,763315,16/04/2016,0.000215,0.000288,0.000215,0.000288,0.000288,10,16/04/2016,3.27,3.29,3.23,3.25,3.25,104888,1,0,W,L
17/04/2016,426.26001,429.070007,424.350006,427.690002,427.690002,13951524,17/04/2016,9.45,9.51,8.46,8.92,8.92,588238,17/04/2016,0.000249,0.000249,0.000249,0.000249,0.000249,0,17/04/2016,3.25,3.26,3.22,3.24,3.24,162318,0,1,L,W
18/04/2016,427.690002,436.070007,426.839996,434.920013,434.920013,19713466,18/04/2016,8.92,9.25,8.55,8.77,8.77,471842,18/04/2016,0.000249,0.000249,0.000235,0.000235,0.000235,0,18/04/2016,3.24,3.29,3.23,3.27,3.27,139722,0,1,L,W
19/04/2016,434.920013,442.859985,432.51001,441.160004,441.160004,32655415,19/04/2016,8.77,8.92,8.35,8.54,8.54,721266,19/04/2016,0.000234,0.000234,0.000225,0.000225,0.000225,0,19/04/2016,3.27,3.31,3.24,3.27,3.27,277262,0,1,L,W
20/04/2016,441.160004,450.799988,439.529999,449.339996,449.339996,28168774,20/04/2016,8.54,8.7,8,8.15,8.15,357687,20/04/2016,0.000229,0.00023,0.000229,0.00023,0.00023,1,20/04/2016,3.27,3.34,3.26,3.33,3.33,316214,1,1,W,W
21/04/2016,449.339996,450.190002,441.899994,445.279999,445.279999,22225157,21/04/2016,8.15,8.37,7.66,7.83,7.83,412692,21/04/2016,0.000229,0.000234,0.000229,0.000234,0.000234,0,21/04/2016,3.33,3.36,3.28,3.3,3.3,256553,1,0,W,L
22/04/2016,445.279999,451.480011,443.070007,450.079987,450.079987,18998211,22/04/2016,7.83,8.54,7.72,8.31,8.31,329479,22/04/2016,0.00023,0.000288,0.000225,0.000234,0.000234,8,22/04/2016,3.3,3.37,3.29,3.34,3.34,180145,0,1,L,W
23/04/2016,450.079987,461.779999,447.890015,457.559998,457.559998,33984269,23/04/2016,8.31,8.45,7.82,8,8,372438,23/04/2016,0.000234,0.000234,0.000233,0.000234,0.000234,3,23/04/2016,3.34,3.59,3.29,3.57,3.57,865213,0,1,L,W
24/04/2016,457.559998,466.230011,451.790009,461.730011,461.730011,37614684,24/04/2016,8,8.1,7.27,7.43,7.43,786134,24/04/2016,0.000234,0.00028,0.000229,0.000269,0.000269,25,24/04/2016,3.57,3.84,3.47,3.77,3.77,1334704,1,1,W,W
25/04/2016,461.730011,468.859985,459.230011,466,466,31451239,25/04/2016,7.43,7.6,7.1,7.5,7.5,557777,25/04/2016,0.000269,0.000269,0.000223,0.000223,0.000223,0,25/04/2016,3.77,4.11,3.7,4,4,1801560,0,1,L,W
26/04/2016,466,467.869995,444.619995,447.01001,447.01001,41539684,26/04/2016,7.5,7.99,7.33,7.77,7.77,383755,26/04/2016,0.000223,0.000296,0.000223,0.000248,0.000248,9,26/04/2016,4,4.21,3.69,3.96,3.96,2796592,1,0,W,L
27/04/2016,447.01001,450.100006,433.899994,448.480011,448.480011,36369788,27/04/2016,7.77,7.79,7.25,7.3,7.3,283192,27/04/2016,0.000248,0.000276,0.00023,0.000275,0.000275,0,27/04/2016,3.96,3.97,3.67,3.77,3.77,1158856,1,1,W,W
28/04/2016,448.480011,456.309998,445.220001,454.980011,454.980011,20264761,28/04/2016,7.3,7.72,7.19,7.51,7.51,212926,28/04/2016,0.000275,0.000275,0.000275,0.000275,0.000275,0,28/04/2016,3.77,3.89,3.69,3.78,3.78,524533,0,1,L,W
29/04/2016,454.980011,456.859985,446.649994,448.529999,448.529999,15994805,29/04/2016,7.51,9.49,7.46,8.83,8.83,1391614,29/04/2016,0.00025,0.000275,0.00023,0.000275,0.000275,8,29/04/2016,3.78,3.83,3.64,3.65,3.65,594354,0,0,L,L
30/04/2016,448.529999,454.209991,447.519989,452.23999,452.23999,9838490,30/04/2016,8.83,9.19,8.42,8.76,8.76,396806,30/04/2016,0.000275,0.000296,0.000232,0.000296,0.000296,19,30/04/2016,3.65,3.73,3.63,3.7,3.7,255506,1,1,W,W
1/05/2016,452.23999,453.869995,440.209991,444.179993,444.179993,32863011,1/05/2016,8.76,10.43,8.75,10.03,10.03,1652336,1/05/2016,0.0002,0.000295,0.000183,0.00024,0.00024,1477,1/05/2016,3.7,3.78,3.61,3.67,3.67,557508,0,0,L,L
